date,favorites,geo,hashtags,mentions,permalink,retweets,term,text,tweet_id,username
2017-11-02 00:06:34,28,,#,@ @ @ @ @,https://twitter.com/HoustonOEM/status/925937150981496834,9,@LACity,"Thanks to @ ReadyLA @ LAPDHQ @ LAFDtalk and all of @ LACity for a great, safe # worldseries. Congrats on a great run @ Dodgers!",925937150981496834,
2017-11-02 00:05:49,0,,,@,https://twitter.com/RosiK29/status/925936961742716928,0,@LACity,"Even if you’re not a huge Dodgers fan, but if you’re from L.A., this loss still does hurt. Awesome series @ Dodgers!",925936961742716928,
2017-11-02 00:05:39,0,,,,https://twitter.com/SPQAmericae/status/925936919900336128,0,@LACity,"OK, back to work cleaning up the feces, tents and Hep A all over the city.",925936919900336128,
2017-11-02 00:05:14,0,,# #,,https://twitter.com/HappyLALife/status/925936814094819328,0,@LACity,A great # WorldSeries Congrats to # Astros !,925936814094819328,
2017-11-02 00:01:00,0,,,@ @ @,https://twitter.com/GroovyDesh/status/925935750411034624,0,@LACity,TRASH @ LACity @ Dodgers @ dodgers,925935750411034624,
2017-11-01 23:51:42,1,,,,https://twitter.com/ScottAJackson/status/925933411377614849,0,@LACity,Everyone besides Dave Roberts was behind you!,925933411377614849,
2017-11-01 23:51:07,0,,,,https://twitter.com/wanieldilkes/status/925933264526647297,0,@LACity,"Fucking losers. Highest paid, second best.",925933264526647297,
2017-11-01 23:49:06,1,,,,https://twitter.com/henro91/status/925932753970958336,0,@LACity,L,925932753970958336,
2017-11-01 23:46:43,1,,,,https://twitter.com/mcheds1/status/925932156542521344,0,@LACity,Turn off the lights...save some money. Dodgers have lost the fire.,925932156542521344,
2017-11-01 23:44:32,1,,# # # # # # #,,https://twitter.com/cynnacross/status/925931605708849153,1,@LACity,# tryingtokeepthefaith # Thisissopainful # Canwescorearunplease # cmondodgerblue # tearsarewellingupinmyeyes # twoinningstogo # ouchpic.twitter.com/N66uwVNrM3,925931605708849153,
2017-11-01 23:43:06,1,,,,https://twitter.com/Nicky_Zee/status/925931244390510592,0,@LACity,To bad none of them showed up,925931244390510592,
2017-11-01 23:43:02,6,,,,https://twitter.com/Zakipooo/status/925931227252604928,0,@LACity,It literally says the LA area in the post and not the whole state.. lol.,925931227252604928,
2017-11-01 23:37:16,0,,,,https://twitter.com/gabmaxwell/status/925929778548424704,0,@LACity,,925929778548424704,
2017-11-01 23:31:47,0,,,,https://twitter.com/tone393/status/925928398588801024,0,@LACity,Had to mention the parade huh!,925928398588801024,
2017-11-01 23:28:11,9,,,@ @ @ @ @ @ @ @,https://twitter.com/watchingLA/status/925927492623400961,0,@LACity,PLEASE win this for my Dad?! @ MayorOfLA @ Dodgers @ metrolosangeles @ Wilshire_Grand @ flyLAXairport @ LACity @ unionstationla @ CityAttorneyLA,925927492623400961,
2017-11-01 23:25:09,2,,,,https://twitter.com/NestorMel15/status/925926726244368386,0,@LACity,Y cerca a Bogotá encontrarás lugares de leyenda. https://tousrcolombia.blogspot.com.co/2017/10/topcolombia-tips-lugares.html …,925926726244368386,
2017-11-01 23:21:41,2,,,,https://twitter.com/JosephNCali/status/925925856140189696,0,@LACity,"Not the WHOLE state, North Cali want the Astros to win, we Giants fans can't stand Blue! PS: All those photos are from the LA area.",925925856140189696,
2017-11-01 23:03:03,1,,# # # #,,https://twitter.com/georgi84178417/status/925921164777553920,0,@LACity,Go # Dodger Believe in # ThisTeam # WorldSeries # WorldSeries2017,925921164777553920,
2017-11-01 23:01:48,0,,,,https://twitter.com/nefertyyy/status/925920853170122757,0,@LACity,If they don’t win I’m leaving California,925920853170122757,
2017-11-01 22:59:21,0,,,,https://twitter.com/Luis_EduarM/status/925920235970093057,0,@LACity,some day I will see that with my own eyes. and I will see that world that is unknown to me in full view,925920235970093057,
2017-11-01 22:49:09,0,,,,https://twitter.com/CRodd14/status/925917667109642241,0,@LACity,Go dodgers,925917667109642241,
2017-11-01 22:48:09,0,,,,https://twitter.com/arobbphoto/status/925917414780309504,0,@LACity,Very cool BLUE - DODGER BLUE!!!,925917414780309504,
2017-11-01 22:47:37,1,,,,https://twitter.com/jacklack98/status/925917281280053249,0,@LACity,he'd do better than darvish,925917281280053249,
2017-11-01 22:46:28,0,,,,https://twitter.com/Phmergoldd/status/925916994758684674,0,@LACity,Astros are winning...,925916994758684674,
2017-11-01 22:45:53,0,,,,https://twitter.com/DwgGraphkickz/status/925916845659512832,0,@LACity,Is it too early to blame Yu Darvish yet ?,925916845659512832,
2017-11-01 22:44:54,0,,,,https://twitter.com/mikesprague824/status/925916600594702336,0,@LACity,the fat lady is warming up,925916600594702336,
2017-11-01 22:42:59,0,,,,https://twitter.com/lesleynka_LA/status/925916115544375296,0,@LACity,Are you even watching the game?,925916115544375296,
2017-11-01 22:39:42,0,,,,https://twitter.com/peterfennema/status/925915291091009536,0,@LACity,"So many important issues in the city, state, country, and world and this is all you can tweet about?",925915291091009536,
2017-11-01 22:37:31,1,,,,https://twitter.com/Broncos187420/status/925914742388125698,0,@LACity,GO ASTROS :P,925914742388125698,
2017-11-01 22:30:29,1,,,,https://twitter.com/The_Nikki_Void/status/925912968688156673,0,@LACity,"Well, not everyone. Some of us really don't care about sportsball.",925912968688156673,
2017-11-01 22:25:36,0,,,,https://twitter.com/TeresaFender/status/925911741011234816,0,@LACity,Are there cities that don't light up their buildings with the colors of their sports teams?,925911741011234816,
2017-11-01 22:20:31,1,,,,https://twitter.com/yeknoc62/status/925910464218898433,0,@LACity,Turn the lights off,925910464218898433,
2017-11-01 22:19:46,0,,,,https://twitter.com/light7774/status/925910273189339136,0,@LACity,Not much hope,925910273189339136,
2017-11-01 22:12:17,0,,,,https://twitter.com/jlooksky/status/925908389191806976,0,@LACity,Nice symbolism.Just like your term as Mayor. You've done nothing for Los Angeles. Typical politician.,925908389191806976,
2017-11-01 22:07:08,0,,,,https://twitter.com/denissem20/status/925907095710457857,0,@LACity,Beautiful,925907095710457857,
2017-11-01 22:07:01,0,,#,,https://twitter.com/Jazzy_Rami014/status/925907064374939648,0,@LACity,So is this girl from Denver # ThisTeam,925907064374939648,
2017-11-01 22:04:47,0,,,,https://twitter.com/NewBloomers/status/925906501784539139,0,@LACity,Let's do this Dodgers!!!,925906501784539139,
2017-11-01 22:04:40,0,,,,https://twitter.com/mastertrappa/status/925906474664120320,0,@LACity,I think the dodgers need your help,925906474664120320,
2017-11-01 22:04:10,4,,,,https://twitter.com/ThatDudefromHTX/status/925906347467661314,1,@LACity,pic.twitter.com/c0epV15yXe,925906347467661314,
2017-11-01 21:58:22,0,,,@,https://twitter.com/Theloneranger73/status/925904890106400768,0,@LACity,"@ HoustonAstros in 7, good night LA",925904890106400768,
2017-11-01 21:57:28,0,,,,https://twitter.com/thetooth34/status/925904663467065344,0,@LACity,The whole will cry later,925904663467065344,
2017-11-01 21:56:34,0,,,,https://twitter.com/HollywoodDGirl/status/925904435502387200,0,@LACity,This whole city is going to run their behinds back to Brooklyn if they don’t tighten up on that backstroke.,925904435502387200,
2017-11-01 21:55:56,0,,,,https://twitter.com/QuigonJoel/status/925904274214850560,0,@LACity,Well said,925904274214850560,
2017-11-01 21:52:37,0,,,,https://twitter.com/QuigonJoel/status/925903439594491904,0,@LACity,Agreed. We all make mistakes though and it takes a better person to forgive (not forget) in my opinion.,925903439594491904,
2017-11-01 21:50:51,0,,,,https://twitter.com/TrumpPepeJoe/status/925902994788327424,0,@LACity,Garcetti is an open borders traitor! Dodgers choke as usual,925902994788327424,
2017-11-01 21:50:17,0,,,@,https://twitter.com/meowmeowAdri/status/925902855898259456,0,@LACity,@ RAJAYZEE,925902855898259456,
2017-11-01 21:50:04,2,,#,,https://twitter.com/amyalkon/status/925902800264904704,0,@LACity,Give me your CEO Greg Loughnane's phone number so I can call him every time we're noise-poisoned by your backup alarms. # greed,925902800264904704,
2017-11-01 21:49:07,1,,#,,https://twitter.com/amyalkon/status/925902560686252032,0,@LACity,"This isn't ""residential street."" It's commercial alley near residences. Distortion helps you avoid paying the cost -keeps it on us. # greed",925902560686252032,
2017-11-01 21:48:01,1,,,,https://twitter.com/amyalkon/status/925902283988074497,0,@LACity,"Children are not playing in commercial alley behind a bar at 6:05 a.m. Adult residents 60 feet away, however, are sleeping. You pay, not us",925902283988074497,
2017-11-01 21:47:56,8,,,,https://twitter.com/IamJedidiah222/status/925902264006406145,1,@LACity,To bad the city can't do anything about Bellinger being a horrible player or a 5-0 deficit,925902264006406145,
2017-11-01 21:47:49,0,,,@ @,https://twitter.com/QuigonJoel/status/925902231219654657,0,@LACity,@ el_yuly10 apologized in baseball fashion and got boo'd from @ LACity fans. Already publicly apologized.,925902231219654657,
2017-11-01 21:47:35,1,,,,https://twitter.com/Trump45awesome/status/925902173287976961,0,@LACity,Guy runs his mouth yesterday give the Astros fuel to be fired up. This is why you never say anything until you win the series.,925902173287976961,
