,0,1,2,predOp
770,#,#,O,O
771,la,JJ,O,O
772,#,#,O,O
773,losangeles,NNS,O,B-noun.artifact
774,#,#,O,O
775,losangelesca,JJ,O,O
776,#,#,O,O
777,losangelescalifornia,JJ,O,O
778,#,#,O,O
779,california,NN,O,B-noun.communication
780,#,#,O,O
781,cali,NN,O,B-noun.person
782,…,JJ,O,O
783,https,NN,O,B-noun.communication
784,:,:,O,O
785,//www,NN,O,B-noun.communication
786,.,.,O,O
787,instagram.com/p/Ba5CG8_FiL8/,NN,O,B-noun.cognition
788,Lunchtime,JJ,O,O
789,run,NN,O,B-noun.act
790,.,.,O,O
791,3.5,CD,O,O
792,miles,NNS,O,B-noun.artifact
793,#,#,O,O
794,halfmarathontraining,VBG,O,B-verb.stative
795,#,#,O,O
796,instarunners,NNS,O,B-noun.group
797,…,VBP,O,O
798,https,NN,O,B-noun.person
799,:,:,O,O
800,//www,NN,O,B-noun.communication
801,.,.,O,O
802,instagram.com/p/Ba5CjvhlOm10,JJ,O,O
803,NrR6a5_ZzdS0xnu2j2TezmY3uk0/,NNP,O,B-noun.person
804,…,NN,O,I-noun.person
805,UCLA,NNP,O,B-noun.communication
806,BRUINS,NNP,O,I-noun.communication
807,soccer,NN,O,I-noun.communication
808,#,#,O,O
809,uclasoccer,JJ,O,O
810,#,#,O,O
811,UCLA,NNP,O,B-noun.person
812,#,#,O,O
813,uclabruins,NNS,O,B-noun.artifact
814,#,#,O,O
815,uclagobruins,NNS,O,B-noun.artifact
816,#,#,O,O
817,goucla,JJ,O,O
818,#,#,O,O
819,westwood,NN,O,B-noun.person
820,…,JJ,O,O
821,https,NN,O,B-noun.communication
822,:,:,O,O
823,//www,NN,O,B-noun.communication
824,.,.,O,O
825,instagram.com/p/Ba5CkLrgKET/,NN,O,B-noun.cognition
826,douglasfairbanksofficial,NN,O,B-noun.act
827,Have,VBP,O,B-verb.possession
828,the,DT,O,O
829,best,JJS,O,O
830,script,NN,O,B-noun.communication
