username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thekristinwest;2018-03-13 20:51;1;1;"#hollywood sign in the fog @Griffith Observatory https://www. instagram.com/p/BgSgkemjlbO/";;@Griffith;#hollywood;"973768648656527360";https://twitter.com/thekristinwest/status/973768648656527360
alibabymm;2018-03-13 20:31;0;2;"i wanna go to griffith observatory when it’s raining";;;;"973763550777786368";https://twitter.com/alibabymm/status/973763550777786368
Sugarplum917;2018-03-13 20:14;0;0;"You think,that is bad? Way back when my mom lived in Orange County,mid 70s I flew out for a visit -I live in Charleston SC and now she and I live tgether in Charleston--- While I was there,we went to the Griffith Observatory show,everyone was quiet listening";;;;"973759367198765057";https://twitter.com/Sugarplum917/status/973759367198765057
OpiieeBee;2018-03-13 19:35;0;0;"Live from #GriffithObservatory https://www. instagram.com/p/BgSXyqCjLZz/";;;#GriffithObservatory;"973749353100795904";https://twitter.com/OpiieeBee/status/973749353100795904
beardburrito;2018-03-13 18:46;0;4;"Went to the Griffith Observatory , embraced the grey. pic.twitter.com/d2J51mVNEw";;;;"973737062623887360";https://twitter.com/beardburrito/status/973737062623887360
AlexLeonNC;2018-03-13 18:23;0;0;"Working at the Griffith Observatory . Likely with Commander Paris.";;;;"973731243882897409";https://twitter.com/AlexLeonNC/status/973731243882897409
tuhweese;2018-03-13 18:06;0;1;"i’m a sucker for some star stuff @Griffith Observatory https://www. instagram.com/p/BgSNoI2h8dF/";;@Griffith;;"973727002409799680";https://twitter.com/tuhweese/status/973727002409799680
Tristannien;2018-03-13 16:43;0;0;"#downtown #downtownlosangeles à Griffith Observatory https://www. instagram.com/p/BgSEIvOFTBG/";;;#downtown #downtownlosangeles;"973706121423785985";https://twitter.com/Tristannien/status/973706121423785985
Tristannien;2018-03-13 16:39;0;1;"#sky #lejos #faraway #loin à Griffith Observatory https://www. instagram.com/p/BgSDpytlZl4/";;;#sky #lejos #faraway #loin;"973705060264931328";https://twitter.com/Tristannien/status/973705060264931328
AnthonyJCook2;2018-03-13 16:39;0;1;"Tiangong-1's passage directly over Los Angeles tonight will likely be clouded out. It may be visible again in the morning sky at the end of March, if it lasts that long! The http:// Heavens-Above.com diagram is in PDT and shows path from #GriffithObservatory . pic.twitter.com/p38SmoJjZY";;;#GriffithObservatory;"973705044901085184";https://twitter.com/AnthonyJCook2/status/973705044901085184
julianaper_;2018-03-13 16:27;0;2;"Ma bannière je l'aime trop, cette vue depuis le Griffith Observatory j'ai pas les mots, c'est vraiment un endroit où je veux aller dans ma vie";;;;"973702117667065857";https://twitter.com/julianaper_/status/973702117667065857
Bit_23;2018-03-13 15:49;1;6;"Hazy Days . . . . . #observatory #landscapephotography #hiking #landscapes #trails #artdeco #citylife #outdoors #ourplanet #space #mounthollywood #bladerunner #landscapelovers #earth #architecture #nature #griffithobservatory #discoverla pic.twitter.com/9HWcSJtJT0";;;#observatory #landscapephotography #hiking #landscapes #trails #artdeco #citylife #outdoors #ourplanet #space #mounthollywood #bladerunner #landscapelovers #earth #architecture #nature #griffithobservatory #discoverla;"973692679585349634";https://twitter.com/Bit_23/status/973692679585349634
kentdobias;2018-03-13 15:43;0;2;"shot reverse shot from my upcoming film featuring griffith observatory and the hollywood sign having a conversation pic.twitter.com/tZCNNP2auP";;;;"973690945995591680";https://twitter.com/kentdobias/status/973690945995591680
Anouckkia;2018-03-13 15:42;0;3;"Griffith Observatory #losangeles pic.twitter.com/ejshnHP3Cw";;;#losangeles;"973690673034559489";https://twitter.com/Anouckkia/status/973690673034559489
JeanetteJoy;2018-03-13 12:44;0;1;"It looks like cold weather in LA next week. The Getty is indoors. And Griffith Observatory pic.twitter.com/tm0bO6vSIV";;;;"973645913485860864";https://twitter.com/JeanetteJoy/status/973645913485860864
JTHollywoodU;2018-03-13 11:42;0;0;"Marco and Lisa went stargazing together at the Griffith Observatory ! Think they're starry-eyed for each other? @PlayHollywoodU";;@PlayHollywoodU;;"973630271563198466";https://twitter.com/JTHollywoodU/status/973630271563198466
SevenPhoto;2018-03-13 11:34;0;0;"Griffith Observatory . @fujifilmprofilm Acros 100, @hasselblad 501c. . . #griffithpark … https://www. instagram.com/p/BgRgpwVD2-R/";;@fujifilmprofilm @hasselblad;#griffithpark;"973628258116886528";https://twitter.com/SevenPhoto/status/973628258116886528
