username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RheaLitre;2017-10-30 13:39;1;5;"It’s about time for my arrival. #Dirrty @Halloweenie_LA | : @photolarry #Halloween | Wardrobe… https://www. instagram.com/p/Ba4skx1FmhS/";;@Halloweenie_LA @photolarry;#Dirrty #Halloween;"925099889922420737";https://twitter.com/RheaLitre/status/925099889922420737
kwencyjonesgo;2017-10-30 13:39;0;1;"Thank you baby! Another first off the bucket list. #HHN #universalstudios #halloweenhorrornights … https://www. instagram.com/p/Ba4skBilAAR/";;;#HHN #universalstudios #halloweenhorrornights;"925099859350142976";https://twitter.com/kwencyjonesgo/status/925099859350142976
rawloven;2017-10-30 13:39;0;0;"Vladimir Petit-Frere Song "Keep My Composure" Full Song on SoundCloud Link is on my BIO.. go… https://www. instagram.com/p/Ba4sT8Mhmho/";;;;"925099839255220224";https://twitter.com/rawloven/status/925099839255220224
derekebradley;2017-10-30 13:39;0;0;"@Venice Beach https://www. instagram.com/p/Ba4sjDhBEQe/";;@Venice;;"925099809706348544";https://twitter.com/derekebradley/status/925099809706348544
AAAlkharji;2017-10-30 13:39;0;0;"@Santa Monica, California https://www. instagram.com/p/Ba4sdnZjVZy/";;@Santa;;"925099806120222720";https://twitter.com/AAAlkharji/status/925099806120222720
Nfrancisco90;2017-10-30 13:39;0;0;"YOU THERE! Go watch my new video where I show you how I bought these brand new Superfly IV’s… https://www. instagram.com/p/Ba4rzf3hX4m/";;;;"925099792073621505";https://twitter.com/Nfrancisco90/status/925099792073621505
TrapLotto;2017-10-30 13:39;0;0;"A lil something I put together from the Room 21 Halloween Party this past Saturday! Still… https://www. instagram.com/p/Ba4sYtsDCjn/";;;;"925099776227627008";https://twitter.com/TrapLotto/status/925099776227627008
shawngatesmbm;2017-10-30 13:38;0;0;"@milaj has a new project "Dopamine". It definitely lives up to the name. It touches all yours… https://www. instagram.com/p/BTDbDVHgUPi/";;@milaj;;"925099705763270656";https://twitter.com/shawngatesmbm/status/925099705763270656
seanmfranklin;2017-10-30 13:38;0;0;"I'm at Jersey Mike's Subs in Beverly Hills, CA https://www. swarmapp.com/c/kQN7fOGQLTL pic.twitter.com/ktgLxOD14k";;;;"925099688474415110";https://twitter.com/seanmfranklin/status/925099688474415110
NurseVolunteers;2017-10-30 13:38;0;0;"The Dream Team . . L’Oréal, Skin Ceuticals West Coast, Experts Advisory… https://www. instagram.com/p/Ba4seYbAYpk/";;;;"925099673551032323";https://twitter.com/NurseVolunteers/status/925099673551032323
Logic562;2017-10-30 13:38;0;0;"Bomb! @Tortas Chingonas https://www. instagram.com/p/Ba4sUU4HNvs/";;@Tortas;;"925099653208707072";https://twitter.com/Logic562/status/925099653208707072
teamkathy;2017-10-30 13:38;0;0;"Going home. Had a great time. I’m already planning my next stay in a few months. @LAX - Los… https://www. instagram.com/p/Ba4sbfDgJ_U/";;@LAX;;"925099565828603904";https://twitter.com/teamkathy/status/925099565828603904
alexroseny;2017-10-30 13:38;0;0;"Art museums and movie theatres, favorite places in the world to be @LACMA Los Angeles County… https://www. instagram.com/p/Ba4sZqjhv2p/";;@LACMA;;"925099532454543366";https://twitter.com/alexroseny/status/925099532454543366
